                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1764,                 0.2069,                      1,                 1.0123,                      0,                      0,                      0
                      2,                 1.1764,                 0.2069,                      1,                 1.0138,             6.7866e-06,             6.7866e-06,             6.7866e-06
                      3,                 1.1707,                0.17241,                      1,                 1.0129,             1.2866e-05,             1.2866e-05,             1.2866e-05
                      4,                 1.1599,                0.18966,                      1,                 1.0108,             1.8239e-05,             1.8239e-05,             1.8239e-05
                      5,                 1.1448,                 0.2069,                      1,                 1.0083,             2.2905e-05,             2.2905e-05,             2.2905e-05
                      6,                 1.1261,                0.25862,                      1,                 1.0053,             2.6864e-05,             2.6864e-05,             2.6864e-05
                      7,                 1.1047,                0.31034,                      1,                 1.0021,             3.0117e-05,             3.0117e-05,             3.0117e-05
                      8,                 1.0812,                0.36207,                      1,                0.99859,             3.2662e-05,             3.2662e-05,             3.2662e-05
                      9,                 1.0564,                0.39655,                      1,                0.99503,               3.45e-05,               3.45e-05,               3.45e-05
                     10,                 1.0309,                0.43103,                      1,                 0.9915,             3.5632e-05,             3.5632e-05,             3.5632e-05
                     11,                 1.0052,                0.43103,                      1,                0.98804,             3.6057e-05,             3.6057e-05,             3.6057e-05
                     12,                0.98003,                0.43103,                      1,                0.98466,             3.5775e-05,             3.5775e-05,             3.5775e-05
                     13,                 0.9557,                0.41379,                      1,                0.98136,             3.4786e-05,             3.4786e-05,             3.4786e-05
                     14,                0.93265,                0.48276,                      1,                0.97821,              3.309e-05,              3.309e-05,              3.309e-05
                     15,                0.91125,                0.51724,                      1,                0.97526,             3.0688e-05,             3.0688e-05,             3.0688e-05
                     16,                0.89184,                0.51724,                      1,                0.97259,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     17,                0.87472,                0.51724,                      1,                0.97024,             2.3762e-05,             2.3762e-05,             2.3762e-05
                     18,                0.86021,                0.53448,                      1,                0.96829,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     19,                0.84862,                0.55172,                      1,                0.96682,             1.4009e-05,             1.4009e-05,             1.4009e-05
                     20,                0.84026,                0.56897,                      1,                0.96588,             8.0718e-06,             8.0718e-06,             8.0718e-06
