                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3008,                  0.425,                      1,                0.44463,                      0,                      0,                      0
                      2,                 1.3008,                  0.375,                      1,                0.44528,             6.7866e-06,             6.7866e-06,             6.7866e-06
                      3,                 1.2921,                  0.375,                      1,                0.44484,             1.2866e-05,             1.2866e-05,             1.2866e-05
                      4,                 1.2758,                  0.375,                      1,                0.44368,             1.8239e-05,             1.8239e-05,             1.8239e-05
                      5,                 1.2531,                  0.425,                      1,                0.44197,             2.2905e-05,             2.2905e-05,             2.2905e-05
                      6,                 1.2254,                    0.4,                      1,                0.43993,             2.6864e-05,             2.6864e-05,             2.6864e-05
                      7,                  1.194,                   0.45,                      1,                0.43772,             3.0117e-05,             3.0117e-05,             3.0117e-05
                      8,                 1.1601,                   0.45,                      1,                0.43538,             3.2662e-05,             3.2662e-05,             3.2662e-05
                      9,                 1.1249,                  0.475,                      1,                0.43293,               3.45e-05,               3.45e-05,               3.45e-05
                     10,                 1.0895,                   0.55,                      1,                0.43038,             3.5632e-05,             3.5632e-05,             3.5632e-05
                     11,                 1.0546,                   0.55,                      1,                0.42777,             3.6057e-05,             3.6057e-05,             3.6057e-05
                     12,                 1.0209,                  0.575,                      1,                0.42519,             3.5775e-05,             3.5775e-05,             3.5775e-05
                     13,                0.98905,                    0.6,                      1,                 0.4227,             3.4786e-05,             3.4786e-05,             3.4786e-05
                     14,                0.95938,                    0.6,                      1,                0.42034,              3.309e-05,              3.309e-05,              3.309e-05
                     15,                0.93227,                  0.625,                      1,                0.41815,             3.0688e-05,             3.0688e-05,             3.0688e-05
                     16,                0.90801,                  0.625,                      1,                0.41617,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     17,                0.88687,                  0.675,                      1,                0.41445,             2.3762e-05,             2.3762e-05,             2.3762e-05
                     18,                0.86913,                  0.675,                      1,                0.41304,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     19,                0.85506,                  0.675,                      1,                0.41199,             1.4009e-05,             1.4009e-05,             1.4009e-05
                     20,                0.84498,                  0.675,                      1,                0.41136,             8.0718e-06,             8.0718e-06,             8.0718e-06
